"REGION_KEY","REGION_NAME","CLUSTER_KEY","CLUSTER_NAME","MINI_CLUSTER_KEY","MINI_CLUSTER_NAME","CELL_SITE_KEY","CELL_SITE_CD"
5,South West,"13",Hinthada,"304",Hinthada,1008644,AY1429
5,South West,"13",Hinthada,"304",Hinthada,1008704,AY1505
5,South West,"13",Hinthada,"304",Hinthada,1008846,AY1449_C
1,North East,"4",Shan East,"294",Tachileik,1008877,SH1474
3,South East,"22",Mon North,"177",Paung,1009021,MO0111_C
2,North West,"1",Kachin,"1",Myitkyina,1009110,KC0628
1,North East,"4",Shan East,"294",Tachileik,1009122,SH1509
3,South East,"31",Mon South,"173",Thanbyuzayat,1009344,MO0684
2,North West,"1",Kachin,"16",Machanbaw,1009378,KC0354
2,North West,"1",Kachin,"1",Myitkyina,1009555,KC0428
2,North West,"2",Chin,"33",Falam,1009576,CH0220
2,North West,"33",Sagaing 3,"67",Pinlebu,1009645,SG0704
1,North East,"24",Mandalay 3,"164",Yamethin,1010330,MD1557
5,South West,"13",Hinthada,"304",Hinthada,1010503,AY1592
2,North West,"1",Kachin,"1",Myitkyina,1011026,KC0786
2,North West,"2",Chin,"33",Falam,1011045,CH0417
2,North West,"33",Sagaing 3,"67",Pinlebu,1011053,SG0835
2,North West,"1",Kachin,"1",Myitkyina,1011389,KC0794
3,South East,"22",Mon North,"177",Paung,1011481,MO1397
2,North West,"2",Chin,"33",Falam,1011557,CH0405
1,North East,"6",Shan South,"252",Loilen,1011811,SH3565
5,South West,"14",Pathein,"311",Einme,1012130,AY2075
5,South West,"14",Pathein,"310",Myaungmya,1010850,AY1598
5,South West,"20",Bago West,"103",Pyay,1011107,BA1497
1,North East,"6",Shan South,"246",Kalaw,1000105,SH0442
1,North East,"6",Shan South,"246",Kalaw,1000107,SH0273
5,South West,"13",Hinthada,"304",Hinthada,1000227,AY0118-1
5,South West,"13",Hinthada,"304",Hinthada,1000236,AY0952
4,Yangon,"17",Yangon 3,"211",Tamwe,1000436,YN0786
4,Yangon,"17",Yangon 3,"211",Tamwe,1000483,YN1244
1,North East,"6",Shan South,"252",Loilen,1000635,SH0308
1,North East,"6",Shan South,"252",Loilen,1000692,SH0190
1,North East,"6",Shan South,"250",Pinlaung,1001243,SH0217
4,Yangon,"15",Yangon 1,"239",Dagon,1001256,YN0842
4,Yangon,"15",Yangon 1,"239",Dagon,1001336,YN0888
2,North West,"2",Chin,"33",Falam,1001625,CH0003
2,North West,"1",Kachin,"1",Myitkyina,1001805,KC0289
2,North West,"1",Kachin,"1",Myitkyina,1001888,KC0233-1
2,North West,"1",Kachin,"1",Myitkyina,1001920,KC0285-1
5,South West,"13",Hinthada,"309",Ingapu,1001958,AY0051
2,North West,"1",Kachin,"1",Myitkyina,1001978,KC0118
2,North West,"1",Kachin,"1",Myitkyina,1002011,KC0049
4,Yangon,"17",Yangon 3,"211",Tamwe,1002079,YN0804
1,North East,"5",Shan North,"266",Tangyan,1002171,SH0598
1,North East,"24",Mandalay 3,"164",Yamethin,1002305,MD0478
1,North East,"24",Mandalay 3,"164",Yamethin,1002311,MD0107
1,North East,"24",Mandalay 3,"164",Yamethin,1002337,MD0483
1,North East,"4",Shan East,"294",Tachileik,1002379,SH0134
5,South West,"14",Pathein,"310",Myaungmya,1002485,AY0614
5,South West,"14",Pathein,"310",Myaungmya,1002497,AY0134
3,South East,"22",Mon North,"177",Paung,1003407,MO0117
3,South East,"22",Mon North,"177",Paung,1003524,MO0131
5,South West,"20",Bago West,"103",Pyay,1003649,BA0136
5,South West,"20",Bago West,"103",Pyay,1003811,BA0753
5,South West,"20",Bago West,"103",Pyay,1003969,BA0766
5,South West,"29",Maubin,"316",Pantanaw,1004527,AY0991
2,North West,"33",Sagaing 3,"67",Pinlebu,1005021,SG0556
5,South West,"13",Hinthada,"304",Hinthada,1005146,AY1102
4,Yangon,"15",Yangon 1,"239",Dagon,1005238,YN1883
4,Yangon,"15",Yangon 1,"239",Dagon,1005260,YN1747
2,North West,"1",Kachin,"1",Myitkyina,1005480,KC2282
3,South East,"22",Mon North,"177",Paung,1005625,MO0445
5,South West,"29",Maubin,"316",Pantanaw,1005690,AY1088_C
2,North West,"1",Kachin,"1",Myitkyina,1006094,KC0551
1,North East,"6",Shan South,"246",Kalaw,1006143,SH0899
5,South West,"14",Pathein,"310",Myaungmya,1006300,AY1254
2,North West,"1",Kachin,"1",Myitkyina,1006688,KC0564
1,North East,"24",Mandalay 3,"164",Yamethin,1006858,MD0539
3,South East,"22",Mon North,"177",Paung,1006976,MO0522
3,South East,"31",Mon South,"173",Thanbyuzayat,1007092,MO0393
1,North East,"4",Shan East,"294",Tachileik,1007177,SH0795
3,South East,"31",Mon South,"173",Thanbyuzayat,1007351,MO0564
4,Yangon,"17",Yangon 3,"211",Tamwe,1007508,YN2173
1,North East,"5",Shan North,"266",Tangyan,1007561,SH0615
3,South East,"22",Mon North,"177",Paung,1007703,MO0537
3,South East,"34",Tanintharyi South,"85",Palaw,1008128,TN0702
3,South East,"31",Mon South,"173",Thanbyuzayat,1008255,MO0672
5,South West,"20",Bago West,"103",Pyay,1008631,BA1173_C
5,South West,"20",Bago West,"103",Pyay,1008787,BA1161_C
2,North West,"1",Kachin,"1",Myitkyina,1009027,KC0288_C
2,North West,"1",Kachin,"1",Myitkyina,1009077,KC0376_C
5,South West,"29",Maubin,"316",Pantanaw,1009096,AY1523_C
1,North East,"4",Shan East,"294",Tachileik,1009249,SH0692
1,North East,"4",Shan East,"294",Tachileik,1009345,SH0476_C
1,North East,"5",Shan North,"266",Tangyan,1009435,SH1084
2,North West,"1",Kachin,"1",Myitkyina,1009647,KC0366
1,North East,"6",Shan South,"250",Pinlaung,1009777,SH1075
5,South West,"14",Pathein,"311",Einme,1010293,AY1590
1,North East,"24",Mandalay 3,"164",Yamethin,1010549,MD1512
4,Yangon,"17",Yangon 3,"211",Tamwe,1010616,YN8091
3,South East,"34",Tanintharyi South,"85",Palaw,1011016,TN0888
2,North West,"1",Kachin,"1",Myitkyina,1011546,KC0805
2,North West,"2",Chin,"33",Falam,1011568,CH1047
5,South West,"13",Hinthada,"304",Hinthada,1011672,AY1750
3,South East,"22",Mon North,"177",Paung,1011967,MO1546
2,North West,"2",Chin,"33",Falam,1012015,CH0602
5,South West,"29",Maubin,"316",Pantanaw,1012532,AY2304
2,North West,"1",Kachin,"1",Myitkyina,1006607,KC0396
2,North West,"1",Kachin,"1",Myitkyina,1007016,KC0449
5,South West,"13",Hinthada,"309",Ingapu,1010659,AY1599
1,North East,"6",Shan South,"246",Kalaw,1000144,SH0410
1,North East,"6",Shan South,"250",Pinlaung,1000204,SH0221
5,South West,"13",Hinthada,"304",Hinthada,1000221,AY0116
5,South West,"13",Hinthada,"304",Hinthada,1000242,AY0120
5,South West,"13",Hinthada,"304",Hinthada,1000255,AY0133
5,South West,"13",Hinthada,"304",Hinthada,1000261,AY0954
5,South West,"13",Hinthada,"304",Hinthada,1000273,AY0111
3,South East,"31",Mon South,"173",Thanbyuzayat,1001601,MO0345
3,South East,"34",Tanintharyi South,"85",Palaw,1001727,TN0204
2,North West,"2",Chin,"33",Falam,1001735,CH0004
3,South East,"31",Mon South,"173",Thanbyuzayat,1001752,MO0221
2,North West,"1",Kachin,"1",Myitkyina,1001903,KC0281
3,South East,"34",Tanintharyi South,"85",Palaw,1001907,TN0177
2,North West,"1",Kachin,"1",Myitkyina,1001911,KC0160
3,South East,"34",Tanintharyi South,"85",Palaw,1001914,TN0182
1,North East,"24",Mandalay 3,"164",Yamethin,1002293,MD0474
1,North East,"24",Mandalay 3,"164",Yamethin,1002300,MD0179
5,South West,"14",Pathein,"310",Myaungmya,1002466,AY0946
3,South East,"22",Mon North,"177",Paung,1003518,MO0114
5,South West,"20",Bago West,"103",Pyay,1003777,BA0768
5,South West,"20",Bago West,"103",Pyay,1003805,BA0724
5,South West,"20",Bago West,"103",Pyay,1003817,BA0725-1
3,South East,"31",Mon South,"173",Thanbyuzayat,1004046,MO0368
3,South East,"22",Mon North,"177",Paung,1004675,MO0111-1
1,North East,"4",Shan East,"294",Tachileik,1004977,SH0070
5,South West,"29",Maubin,"317",Nyaungdon,1005072,AY1079
5,South West,"14",Pathein,"310",Myaungmya,1005440,AY1147
2,North West,"1",Kachin,"1",Myitkyina,1005562,KC0550
5,South West,"29",Maubin,"317",Nyaungdon,1005709,AY1418
5,South West,"13",Hinthada,"304",Hinthada,1005727,AY0953_C
5,South West,"20",Bago West,"103",Pyay,1005785,BA0855
2,North West,"1",Kachin,"1",Myitkyina,1005811,KC0501
3,South East,"31",Mon South,"173",Thanbyuzayat,1006071,MO0501
4,Yangon,"15",Yangon 1,"239",Dagon,1006304,YN5031
5,South West,"13",Hinthada,"304",Hinthada,1006370,AY1191
5,South West,"13",Hinthada,"304",Hinthada,1006526,AY1385
5,South West,"13",Hinthada,"309",Ingapu,1006621,AY1098
2,North West,"1",Kachin,"1",Myitkyina,1006656,KC0441
5,South West,"29",Maubin,"317",Nyaungdon,1006723,AY1269
5,South West,"29",Maubin,"316",Pantanaw,1006753,AY1292
5,South West,"13",Hinthada,"304",Hinthada,1007784,AY1447
5,South West,"29",Maubin,"316",Pantanaw,1008091,AY1417
2,North West,"1",Kachin,"1",Myitkyina,1008296,KC0611
5,South West,"14",Pathein,"310",Myaungmya,1008492,AY1442
4,Yangon,"15",Yangon 1,"239",Dagon,1008604,YN0828_C
2,North West,"11",Sagaing 1,"56",Chaung-U,1008738,SG0769
2,North West,"1",Kachin,"1",Myitkyina,1009123,KC0233_C
5,South West,"14",Pathein,"310",Myaungmya,1009147,AY1443_C
2,North West,"2",Chin,"33",Falam,1009373,CH0212
4,Yangon,"17",Yangon 3,"211",Tamwe,1010114,YN8100
2,North West,"1",Kachin,"1",Myitkyina,1010135,KC0712
1,North East,"6",Shan South,"246",Kalaw,1010169,SH1433
1,North East,"6",Shan South,"250",Pinlaung,1010406,SH1102
4,Yangon,"17",Yangon 3,"211",Tamwe,1010520,YN2268
1,North East,"4",Shan East,"294",Tachileik,1010611,SH1513
3,South East,"34",Tanintharyi South,"85",Palaw,1011608,TN6020
1,North East,"5",Shan North,"266",Tangyan,1011828,SH3587
5,South West,"13",Hinthada,"304",Hinthada,1011940,AY1775
4,Yangon,"15",Yangon 1,"239",Dagon,1012059,YN9516
1,North East,"6",Shan South,"246",Kalaw,1012247,SH1597
1,North East,"4",Shan East,"294",Tachileik,1012289,SH1680
5,South West,"20",Bago West,"103",Pyay,1011046,BA2925
1,North East,"6",Shan South,"246",Kalaw,1000133,SH0403
1,North East,"6",Shan South,"246",Kalaw,1000192,SH0284
5,South West,"13",Hinthada,"304",Hinthada,1000331,AY0119
4,Yangon,"17",Yangon 3,"211",Tamwe,1000463,YN1303
1,North East,"6",Shan South,"252",Loilen,1000538,SH0189
1,North East,"4",Shan East,"294",Tachileik,1000558,SH0336
2,North West,"11",Sagaing 1,"56",Chaung-U,1000628,SG0052
4,Yangon,"15",Yangon 1,"239",Dagon,1001241,YN0828-1
4,Yangon,"15",Yangon 1,"239",Dagon,1001326,YN0861-1
3,South East,"31",Mon South,"173",Thanbyuzayat,1001634,MO0348-1
2,North West,"1",Kachin,"1",Myitkyina,1001823,KC0280-1
2,North West,"1",Kachin,"1",Myitkyina,1001892,KC0198
2,North West,"1",Kachin,"1",Myitkyina,1001902,KC0017
2,North West,"1",Kachin,"1",Myitkyina,1001905,KC0284
5,South West,"14",Pathein,"310",Myaungmya,1002512,AY0611
5,South West,"14",Pathein,"310",Myaungmya,1002553,AY0960
5,South West,"13",Hinthada,"309",Ingapu,1003860,AY1046
5,South West,"14",Pathein,"310",Myaungmya,1004411,AY1147-1
1,North East,"6",Shan South,"252",Loilen,1004485,SH0653
5,South West,"14",Pathein,"311",Einme,1004779,AY1058
1,North East,"4",Shan East,"294",Tachileik,1005005,SH0049
4,Yangon,"15",Yangon 1,"239",Dagon,1005197,YN1748
4,Yangon,"15",Yangon 1,"239",Dagon,1005305,YN1691
2,North West,"1",Kachin,"1",Myitkyina,1005362,KC0386
1,North East,"24",Mandalay 3,"164",Yamethin,1005408,MD0550
5,South West,"20",Bago West,"103",Pyay,1005514,BA1178
5,South West,"20",Bago West,"103",Pyay,1005702,BA0683_C
2,North West,"1",Kachin,"1",Myitkyina,1005830,KC0385
2,North West,"1",Kachin,"1",Myitkyina,1005879,KC0504
2,North West,"1",Kachin,"1",Myitkyina,1006106,KC0556
5,South West,"14",Pathein,"310",Myaungmya,1006144,AY0825
5,South West,"20",Bago West,"103",Pyay,1006438,BA1052
5,South West,"13",Hinthada,"309",Ingapu,1006455,AY1184
2,North West,"1",Kachin,"1",Myitkyina,1006637,KC0448
5,South West,"20",Bago West,"103",Pyay,1006726,BA1161
5,South West,"14",Pathein,"310",Myaungmya,1006729,AY1273
3,South East,"22",Mon North,"177",Paung,1006945,MO0524
3,South East,"31",Mon South,"173",Thanbyuzayat,1007006,MO0562
1,North East,"4",Shan East,"294",Tachileik,1007183,SH0797
3,South East,"34",Tanintharyi South,"85",Palaw,1007634,TN0626
1,North East,"24",Mandalay 3,"164",Yamethin,1007929,MD1269
2,North West,"1",Kachin,"1",Myitkyina,1008605,KC0280_C
3,South East,"31",Mon South,"173",Thanbyuzayat,1008690,MO0395
2,North West,"1",Kachin,"1",Myitkyina,1008695,KC0378_C
5,South West,"13",Hinthada,"304",Hinthada,1008946,AY0952_C
2,North West,"1",Kachin,"1",Myitkyina,1008960,KC0554_C
1,North East,"4",Shan East,"294",Tachileik,1009116,SH0336_C
5,South West,"13",Hinthada,"304",Hinthada,1009157,AY1521
5,South West,"13",Hinthada,"304",Hinthada,1009232,AY1189_C
5,South West,"29",Maubin,"316",Pantanaw,1009264,AY1457
5,South West,"13",Hinthada,"304",Hinthada,1000265,AY0135
4,Yangon,"17",Yangon 3,"211",Tamwe,1000452,YN0773
1,North East,"4",Shan East,"294",Tachileik,1000519,SH0064
1,North East,"4",Shan East,"294",Tachileik,1000525,SH0133
1,North East,"4",Shan East,"294",Tachileik,1000572,SH0050
4,Yangon,"15",Yangon 1,"239",Dagon,1001237,YN0861
3,South East,"31",Mon South,"173",Thanbyuzayat,1001677,MO0346
3,South East,"34",Tanintharyi South,"85",Palaw,1001733,TN0196
1,North East,"5",Shan North,"266",Tangyan,1001794,SH0143
1,North East,"5",Shan North,"266",Tangyan,1001819,SH0142
4,Yangon,"17",Yangon 3,"211",Tamwe,1002043,YN0999
1,North East,"24",Mandalay 3,"164",Yamethin,1002173,MD0095
5,South West,"29",Maubin,"317",Nyaungdon,1002268,AY0379
1,North East,"24",Mandalay 3,"164",Yamethin,1002299,MD0206
5,South West,"29",Maubin,"317",Nyaungdon,1002422,AY0361
5,South West,"14",Pathein,"310",Myaungmya,1002479,AY0690
5,South West,"14",Pathein,"310",Myaungmya,1002518,AY0981
1,North East,"6",Shan South,"246",Kalaw,1002876,SH0327
5,South West,"20",Bago West,"103",Pyay,1003641,BA0683
5,South West,"20",Bago West,"103",Pyay,1003781,BA0754
5,South West,"20",Bago West,"103",Pyay,1003785,BA0683-1
5,South West,"20",Bago West,"103",Pyay,1003799,BA0143
5,South West,"20",Bago West,"103",Pyay,1003981,BA0144
4,Yangon,"17",Yangon 3,"211",Tamwe,1004562,YN1461
3,South East,"22",Mon North,"177",Paung,1004800,MO0385
5,South West,"13",Hinthada,"304",Hinthada,1005015,AY1094
2,North West,"1",Kachin,"1",Myitkyina,1005038,KC0385-1
3,South East,"22",Mon North,"177",Paung,1005066,MO0454
3,South East,"31",Mon South,"173",Thanbyuzayat,1005167,MO0319
5,South West,"20",Bago West,"103",Pyay,1005239,BA1025
3,South East,"22",Mon North,"177",Paung,1005609,MO0111
5,South West,"20",Bago West,"103",Pyay,1005726,BA1054
5,South West,"14",Pathein,"310",Myaungmya,1005734,AY1165
5,South West,"20",Bago West,"103",Pyay,1005831,BA1215
5,South West,"29",Maubin,"316",Pantanaw,1006276,AY1232
5,South West,"20",Bago West,"103",Pyay,1006665,BA1051
3,South East,"31",Mon South,"173",Thanbyuzayat,1006961,MO0559
4,Yangon,"15",Yangon 1,"239",Dagon,1007554,YN7122
5,South West,"29",Maubin,"316",Pantanaw,1008232,AY1523
5,South West,"29",Maubin,"316",Pantanaw,1008396,AY1530
1,North East,"4",Shan East,"294",Tachileik,1008595,SH1487
5,South West,"13",Hinthada,"304",Hinthada,1008692,AY1502
1,North East,"6",Shan South,"246",Kalaw,1009067,SH1071
2,North West,"1",Kachin,"1",Myitkyina,1009156,KC0386_C
5,South West,"20",Bago West,"103",Pyay,1009327,BA0767_C
2,North West,"2",Chin,"33",Falam,1010077,CH0254
1,North East,"4",Shan East,"294",Tachileik,1010110,SH0708
1,North East,"4",Shan East,"294",Tachileik,1010318,SH1514
2,North West,"11",Sagaing 1,"56",Chaung-U,1010365,SG0797
4,Yangon,"17",Yangon 3,"211",Tamwe,1010408,YN3985
4,Yangon,"17",Yangon 3,"211",Tamwe,1010516,YN7189
2,North West,"1",Kachin,"1",Myitkyina,1010537,KC0715
3,South East,"34",Tanintharyi South,"85",Palaw,1010640,TN0515
5,South West,"14",Pathein,"310",Myaungmya,1010683,AY1597
5,South West,"13",Hinthada,"309",Ingapu,1010697,AY1596
4,Yangon,"17",Yangon 3,"211",Tamwe,1011209,YN3997
1,North East,"6",Shan South,"250",Pinlaung,1011237,SH3884
1,North East,"6",Shan South,"252",Loilen,1011350,SH5008
2,North West,"1",Kachin,"1",Myitkyina,1011465,KC2516
1,North East,"6",Shan South,"250",Pinlaung,1011661,SH5063
4,Yangon,"17",Yangon 3,"211",Tamwe,1011771,YN8251
3,South East,"22",Mon North,"177",Paung,1011820,MO1531
5,South West,"14",Pathein,"311",Einme,1011868,AY1644
4,Yangon,"15",Yangon 1,"239",Dagon,1012338,YN5702
5,South West,"14",Pathein,"310",Myaungmya,1012418,AY2212
5,South West,"13",Hinthada,"309",Ingapu,1012543,AY2198
5,South West,"13",Hinthada,"304",Hinthada,1012547,AY2357
2,North West,"1",Kachin,"1",Myitkyina,1005817,KC0502
5,South West,"13",Hinthada,"304",Hinthada,1009498,AY1528
3,South East,"34",Tanintharyi South,"85",Palaw,1010519,TN0765
2,North West,"2",Chin,"33",Falam,1011423,CH0550
1,North East,"6",Shan South,"246",Kalaw,1000123,SH0400
1,North East,"6",Shan South,"246",Kalaw,1000134,SH0402
1,North East,"6",Shan South,"246",Kalaw,1000162,SH0520
1,North East,"6",Shan South,"246",Kalaw,1000168,SH0404
1,North East,"6",Shan South,"246",Kalaw,1000216,SH0412
1,North East,"6",Shan South,"246",Kalaw,1000222,SH0406
5,South West,"29",Maubin,"316",Pantanaw,1000363,AY0324
4,Yangon,"17",Yangon 3,"211",Tamwe,1000401,YN0744
1,North East,"4",Shan East,"294",Tachileik,1000443,SH0476
1,North East,"4",Shan East,"294",Tachileik,1000529,SH0110
2,North West,"11",Sagaing 1,"56",Chaung-U,1000576,SG0053
1,North East,"6",Shan South,"252",Loilen,1000627,SH0111
1,North East,"6",Shan South,"252",Loilen,1000702,SH0191
4,Yangon,"15",Yangon 1,"239",Dagon,1001247,YN1285
4,Yangon,"15",Yangon 1,"239",Dagon,1001330,YN0866
1,North East,"6",Shan South,"250",Pinlaung,1001338,SH0218
3,South East,"31",Mon South,"173",Thanbyuzayat,1001675,MO0248
2,North West,"1",Kachin,"1",Myitkyina,1001896,KC0122
2,North West,"1",Kachin,"1",Myitkyina,1001910,KC0283
2,North West,"1",Kachin,"1",Myitkyina,1001921,KC0251
2,North West,"1",Kachin,"1",Myitkyina,1001926,KC0014
2,North West,"1",Kachin,"1",Myitkyina,1001993,KC0019
1,North East,"5",Shan North,"266",Tangyan,1002174,SH0551
1,North East,"24",Mandalay 3,"164",Yamethin,1002179,MD0091
1,North East,"24",Mandalay 3,"164",Yamethin,1002317,MD0119
5,South West,"14",Pathein,"310",Myaungmya,1002524,AY0583
4,Yangon,"17",Yangon 3,"211",Tamwe,1004664,YN1508
3,South East,"22",Mon North,"177",Paung,1004668,MO0321
5,South West,"20",Bago West,"103",Pyay,1004742,BA0958
3,South East,"31",Mon South,"173",Thanbyuzayat,1005002,MO0486
3,South East,"22",Mon North,"177",Paung,1005193,MO0430
5,South West,"20",Bago West,"103",Pyay,1005299,BA0995
2,North West,"1",Kachin,"1",Myitkyina,1005823,KC0555
2,North West,"1",Kachin,"1",Myitkyina,1005891,KC0557
5,South West,"20",Bago West,"103",Pyay,1006004,BA0125_C
5,South West,"13",Hinthada,"309",Ingapu,1006376,AY1193
5,South West,"20",Bago West,"103",Pyay,1006445,BA1055
2,North West,"1",Kachin,"1",Myitkyina,1006612,KC0408
5,South West,"13",Hinthada,"309",Ingapu,1006615,AY1096
3,South East,"31",Mon South,"173",Thanbyuzayat,1007019,MO0410
1,North East,"6",Shan South,"252",Loilen,1007326,SH0648
3,South East,"31",Mon South,"173",Thanbyuzayat,1007357,MO0572
4,Yangon,"15",Yangon 1,"239",Dagon,1007485,YN7127
1,North East,"6",Shan South,"250",Pinlaung,1007674,SH0874
4,Yangon,"15",Yangon 1,"239",Dagon,1007883,YN7123
2,North West,"33",Sagaing 3,"67",Pinlebu,1007902,SG0706
3,South East,"22",Mon North,"177",Paung,1008046,MO0669
5,South West,"13",Hinthada,"309",Ingapu,1008149,AY1186
5,South West,"13",Hinthada,"304",Hinthada,1008206,AY1433
3,South East,"22",Mon North,"177",Paung,1008234,MO0670
2,North West,"1",Kachin,"1",Myitkyina,1008278,KC0432
1,North East,"6",Shan South,"250",Pinlaung,1008530,SH1493
5,South West,"13",Hinthada,"304",Hinthada,1008650,AY1434
5,South West,"13",Hinthada,"304",Hinthada,1008698,AY1504
2,North West,"1",Kachin,"1",Myitkyina,1008795,KC0285_C
2,North West,"1",Kachin,"1",Myitkyina,1008955,KC0621_C
2,North West,"1",Kachin,"1",Myitkyina,1009164,KC0587
2,North West,"33",Sagaing 3,"67",Pinlebu,1009248,SG1052
5,South West,"29",Maubin,"316",Pantanaw,1009262,AY1162_C
3,South East,"34",Tanintharyi South,"85",Palaw,1009337,TN0648
1,North East,"4",Shan East,"294",Tachileik,1009340,SH0277_C
5,South West,"13",Hinthada,"304",Hinthada,1009501,AY1506
4,Yangon,"17",Yangon 3,"211",Tamwe,1009627,YN8061
1,North East,"5",Shan North,"266",Tangyan,1009692,SH1058
1,North East,"4",Shan East,"294",Tachileik,1009838,SH0706
2,North West,"11",Sagaing 1,"56",Chaung-U,1009943,SG0770
2,North West,"2",Chin,"33",Falam,1010083,CH0258
1,North East,"6",Shan South,"250",Pinlaung,1010290,SH0721
5,South West,"20",Bago West,"103",Pyay,1010465,BA1490
2,North West,"1",Kachin,"1",Myitkyina,1010637,KC0773
4,Yangon,"17",Yangon 3,"211",Tamwe,1010691,YN8112
1,North East,"4",Shan East,"294",Tachileik,1010764,SH1587
2,North West,"2",Chin,"33",Falam,1010947,CH0418
4,Yangon,"17",Yangon 3,"211",Tamwe,1011089,YN7190
3,South East,"22",Mon North,"177",Paung,1011186,MO1394
5,South West,"13",Hinthada,"304",Hinthada,1011585,AY2002
5,South West,"14",Pathein,"311",Einme,1012032,AY2050
5,South West,"29",Maubin,"317",Nyaungdon,1012293,AY2181
5,South West,"13",Hinthada,"304",Hinthada,1012317,AY2163
1,North East,"4",Shan East,"294",Tachileik,1012320,SH1687
4,Yangon,"15",Yangon 1,"239",Dagon,1007454,YN7121
2,North West,"1",Kachin,"1",Myitkyina,1007820,KC0621
1,North East,"6",Shan South,"246",Kalaw,1000117,SH0407
1,North East,"6",Shan South,"246",Kalaw,1000127,SH0280
1,North East,"4",Shan East,"294",Tachileik,1000449,SH0015
4,Yangon,"17",Yangon 3,"211",Tamwe,1000469,YN0757
4,Yangon,"17",Yangon 3,"211",Tamwe,1000471,YN1372
4,Yangon,"17",Yangon 3,"211",Tamwe,1000494,YN0779
4,Yangon,"17",Yangon 3,"211",Tamwe,1000545,YN0771
3,South East,"31",Mon South,"173",Thanbyuzayat,1001583,MO0350
2,North West,"2",Chin,"33",Falam,1001729,CH0008
3,South East,"34",Tanintharyi South,"85",Palaw,1001739,TN0199
3,South East,"34",Tanintharyi South,"85",Palaw,1001745,TN0462
3,South East,"31",Mon South,"173",Thanbyuzayat,1001746,MO0221-1
1,North East,"5",Shan North,"266",Tangyan,1001786,SH0144
2,North West,"1",Kachin,"1",Myitkyina,1001799,KC0291
3,South East,"34",Tanintharyi South,"85",Palaw,1001861,TN0187
3,South East,"34",Tanintharyi South,"85",Palaw,1001866,TN0165
2,North West,"1",Kachin,"1",Myitkyina,1001897,KC0153
2,North West,"1",Kachin,"1",Myitkyina,1001898,KC0120
2,North West,"1",Kachin,"1",Myitkyina,1001909,KC0286
